31924,31870,31915,15,1,33,218,1060,3,0,0,0,0,3,1,0,
31901,31923,31902,15,0,36,220,1058,3,1,1,0,0,1,1,1,
31895,31886,31897,12,1,36,219,1062,3,1,0,0,0,1,1,1,
31898,31866,31868,12,0,43,220,1058,2,2,0,2,2,2,0,0,
31842,31868,31916,12,0,24,220,1056,1,1,1,0,1,2,0,0,
31852,31834,31953,12,2,23,215,1052,4,2,0,0,0,0,1,0,
31900,31859,32012,12,0,35,210,1073,2,3,2,2,1,0,2,1,
31834,31845,31868,15,1,12,209,1073,2,0,0,0,0,0,0,0,
31827,31768,31889,15,1,12,206,1062,1,2,1,1,2,1,2,0,
31880,31801,31905,15,0,20,202,1044,0,1,1,2,0,0,0,2,
31883,31923,31906,15,1,26,212,1052,3,2,0,1,0,3,0,0,
31868,31838,31884,15,0,32,218,1083,2,1,0,0,2,0,1,0,
31830,31826,31882,14,0,24,208,1074,3,1,0,0,2,0,2,0,
31836,31846,31861,12,0,32,206,1071,4,0,0,2,0,2,3,2,
31760,31850,31717,12,0,33,210,1062,0,0,0,2,1,0,0,2,
31790,31833,31881,15,2,39,221,1041,2,1,0,0,1,1,1,0,
31857,31822,31900,15,2,37,224,1053,4,2,1,2,1,1,2,3,
31872,31845,31989,13,1,38,225,1068,1,2,0,0,0,1,0,2,
31739,31841,31878,15,0,47,234,1054,1,1,2,0,0,0,0,2,
31814,31799,31852,15,1,34,243,1066,4,2,2,0,1,1,1,1,
31833,31793,31854,12,2,19,222,1069,2,0,0,0,0,0,0,1,
31846,31827,31850,12,1,23,213,1052,0,0,0,0,0,1,0,0,
31832,31943,31885,14,0,42,228,1058,4,2,1,1,0,0,0,0,
31854,31841,31878,16,2,32,227,1068,3,2,2,1,0,0,0,0,
31860,31961,31852,16,1,24,234,1053,2,2,0,4,0,1,1,1,
31850,31846,31835,14,0,35,222,1058,0,0,0,2,0,0,1,1,
31836,31837,31946,15,0,16,220,1068,2,1,0,0,0,1,0,0,
31814,31829,31867,15,0,36,214,1073,0,1,0,0,0,0,0,2,
31858,31854,31837,12,1,40,214,1056,1,0,0,0,0,2,0,2,
31858,31846,31835,15,0,48,224,1072,2,2,2,1,0,0,0,0,
31871,31847,31864,16,1,48,218,1081,2,2,1,1,0,1,0,1,
31851,31858,31871,16,0,39,218,1073,0,1,3,1,1,0,0,0,
31869,31852,31817,12,0,40,229,1060,3,1,0,2,0,3,2,0,
31955,31864,32068,15,2,28,232,1068,2,2,2,0,1,0,0,1,
31721,31873,31914,12,2,18,217,1058,2,2,0,0,2,1,1,2,
31882,31869,31917,15,2,28,216,1058,3,0,1,1,0,0,1,0,
31866,31847,31902,12,0,36,216,1080,1,0,1,0,0,0,2,0,
31881,31886,31781,12,0,40,222,1065,2,0,1,2,0,0,0,4,
31905,31865,31917,15,2,39,225,1090,2,1,1,0,0,1,0,0,
31886,31802,31918,12,2,33,217,1074,1,0,0,2,1,2,1,1,
31914,31967,31892,16,0,39,220,1081,1,1,1,2,0,0,1,0,
31918,31882,31899,12,1,36,222,1062,1,0,0,0,0,2,0,0,
31911,31879,31985,12,0,36,228,1061,1,1,0,0,1,0,1,2,
31931,31937,31927,15,0,28,225,1067,2,0,0,1,2,0,1,0,
31935,31892,31943,15,2,36,217,1061,0,2,0,2,0,2,2,0,
31897,31900,31922,15,2,36,226,1068,1,2,2,3,2,0,2,1,
31906,31884,31915,12,1,34,225,1044,2,0,0,2,0,1,0,2,
31917,31851,31881,15,1,29,225,1062,2,1,1,0,0,0,1,0,
31933,31904,31943,16,0,36,218,1076,1,0,0,2,1,1,1,3,
31847,31890,31862,15,0,36,216,1065,2,1,2,1,1,3,1,1,
32063,31874,31958,16,0,34,213,1049,2,0,0,0,0,0,0,2,
31927,31920,31929,12,2,42,236,1056,2,0,0,0,0,2,1,0,
31918,31810,31913,15,1,40,234,1065,2,2,0,2,1,0,2,1,
31877,31867,31931,12,2,28,228,1096,1,1,2,0,0,0,0,0,
31935,31886,32105,12,0,25,222,1086,2,0,2,2,2,1,2,2,
31925,31886,31930,16,0,28,214,1070,1,0,1,2,2,1,3,1,
31877,31871,31927,16,1,32,209,1067,2,3,2,0,1,2,0,0,
32067,31881,31950,12,1,32,206,1070,2,1,0,2,0,0,2,1,
31939,31899,31925,12,0,26,209,1055,2,2,0,2,0,0,0,2,
31925,32065,31916,14,1,23,221,1055,0,0,0,0,2,3,1,3,
31885,31894,31926,15,1,22,214,1051,2,2,2,0,0,0,1,1,
31902,31892,31934,14,2,35,218,1066,0,1,1,2,0,2,1,0,
31909,31889,31915,15,0,36,220,1065,2,0,0,0,0,1,0,0,
31862,31893,31764,12,2,28,218,1070,1,1,0,1,0,2,0,0,
32085,31836,31913,16,0,26,209,1073,2,2,1,1,0,0,0,0,
31901,31824,31901,15,0,28,203,1073,0,2,0,1,0,2,0,2,
31873,31883,31867,15,0,26,205,1062,0,0,0,0,0,1,2,0,
31872,31853,31871,14,0,24,209,1057,2,0,2,2,0,3,0,0,
31850,31823,31892,15,1,31,213,1045,0,0,0,1,0,2,0,2,
31871,31957,31884,12,0,32,212,1046,2,0,0,2,0,3,2,2,
31883,31870,31870,11,0,34,218,1068,2,1,0,0,0,2,2,1,
31849,31686,31877,15,0,48,222,1052,0,0,0,0,0,0,2,0,
31878,31853,31878,16,1,28,222,1057,0,1,1,0,0,1,0,2,
31854,31846,31747,16,2,39,213,1058,2,0,0,1,1,1,2,4,
31889,31854,31874,15,2,36,218,1062,3,1,2,1,2,2,1,0,
31838,31853,31970,12,1,34,217,1069,3,2,0,0,0,0,1,3,
31725,31844,31890,15,0,28,218,1066,2,2,1,0,0,0,2,2,
31873,31860,31863,16,0,24,218,1075,0,1,1,0,2,0,0,0,
31870,31797,31909,14,2,24,214,1058,2,1,2,0,0,1,0,2,
31849,31821,31858,12,1,39,226,1062,0,2,1,2,3,0,0,2,
31881,31776,31837,15,1,36,222,1076,0,0,0,0,0,2,2,0,
31874,31872,31850,12,1,43,234,1081,1,2,0,0,0,1,1,2,
31878,31830,31952,14,0,19,222,1094,2,2,0,1,2,0,1,0,
31846,31817,31840,12,2,30,224,1101,2,0,2,0,0,1,0,0,
31860,31822,31883,15,1,34,225,1082,1,1,0,0,0,1,0,1,
31854,31837,31829,12,0,34,236,1073,0,2,2,1,0,1,2,2,
31852,31820,31885,12,1,22,218,1084,3,1,0,2,0,0,1,2,
31751,31798,31717,12,0,35,222,1057,2,0,2,2,0,0,0,0,
31860,31829,31876,15,0,28,222,1084,2,0,0,2,0,0,2,0,
31884,31852,31851,12,1,36,229,1070,2,0,0,2,0,1,0,2,
31720,31817,31861,15,0,30,221,1062,2,2,0,1,0,1,0,4,
31917,31809,31864,15,2,36,220,1070,2,0,1,1,2,2,0,1,
31878,31825,31870,15,0,39,222,1065,1,2,0,0,0,1,0,1,
31851,31845,31857,12,1,28,222,1094,0,1,0,2,0,0,0,2,
31933,31827,31874,15,3,28,213,1072,1,1,2,0,0,0,1,0,
31839,31807,31852,12,0,21,212,1081,1,0,2,2,2,2,1,1,
31858,31806,31849,15,0,27,210,1085,2,0,1,2,0,2,0,0,
31846,31963,31873,15,2,38,222,1078,2,0,1,1,0,0,1,0,
31850,31834,31875,16,1,28,230,1062,2,0,1,0,2,0,1,3,
31874,31837,31886,15,0,22,230,1056,2,2,0,1,0,2,0,0,
31911,31846,31974,16,1,33,220,1061,2,2,1,2,1,2,2,2,
31868,31875,31894,12,2,30,222,1058,2,1,1,0,0,0,2,0,
31874,31852,32064,12,2,28,222,1060,4,0,0,0,0,0,1,4,
31825,31826,31901,12,0,26,214,1059,1,2,2,1,2,0,0,0,
31873,31836,31889,15,0,36,214,1068,2,0,2,2,0,0,0,2,
31895,31858,31911,15,2,49,218,1065,3,0,1,1,0,1,0,0,
31886,31857,31917,12,0,37,225,1089,2,0,0,0,1,1,2,2,
31890,31917,31894,17,0,21,218,1068,1,0,0,2,0,0,1,0,
31892,31754,31915,14,0,32,212,1061,2,2,2,1,0,0,2,2,
31900,31862,31909,15,0,40,217,1068,2,1,0,0,1,1,0,0,
31882,32014,31933,12,2,42,225,1068,2,1,0,2,0,0,1,2,
31914,31851,31927,16,0,37,226,1061,2,2,0,0,0,1,1,0,
31911,31865,31938,12,2,31,225,1066,2,0,0,0,0,2,0,0,
31908,31854,31935,12,1,31,219,1054,1,0,0,0,0,0,1,1,
31890,31882,31787,15,0,28,217,1067,1,2,0,0,0,0,1,0,
31904,31886,31891,15,0,34,226,1058,3,2,1,0,0,0,0,2,
31892,31916,31923,14,2,28,222,1073,2,1,0,0,0,0,0,2,
31918,31878,31951,12,1,26,218,1058,2,0,1,0,1,1,1,2,
31935,31897,31935,12,0,34,218,1078,2,0,2,0,0,2,2,0,
31920,31850,31927,12,2,36,226,1068,2,1,0,0,0,0,1,1,
31934,31898,31930,14,1,31,229,1060,3,1,1,1,0,1,1,2,
